Wavelength (m),Spectral flux (W/m^2/m)
4.3100E-07,4.14E-07
4.3150E-07,4.33E-07
4.3200E-07,4.27E-07
4.3250E-07,4.16E-07
4.3300E-07,3.88E-07
4.3350E-07,3.56E-07
4.3400E-07,3.68E-07
4.3450E-07,4.06E-07
4.3500E-07,4.35E-07
4.3550E-07,4.56E-07
4.3600E-07,4.65E-07
4.3650E-07,4.62E-07
4.3700E-07,4.54E-07
4.3750E-07,4.43E-07
4.3800E-07,4.35E-07
4.3850E-07,4.41E-07
4.3900E-07,4.52E-07
4.3950E-07,4.54E-07
4.4000E-07,4.54E-07
4.4050E-07,4.59E-07
4.4100E-07,4.61E-07
4.4150E-07,4.63E-07
4.4200E-07,4.65E-07
4.4250E-07,4.64E-07
4.4300E-07,4.62E-07
4.4350E-07,4.61E-07
4.4400E-07,4.60E-07
4.4450E-07,4.58E-07
4.4500E-07,4.50E-07
4.4550E-07,4.46E-07
4.4600E-07,4.51E-07
4.4650E-07,4.59E-07
4.4700E-07,4.67E-07
4.4750E-07,4.67E-07
4.4800E-07,4.67E-07
4.4850E-07,4.67E-07
4.4900E-07,4.70E-07
4.4950E-07,4.77E-07
4.5000E-07,4.83E-07
4.5050E-07,4.83E-07
4.5100E-07,4.77E-07
4.5150E-07,4.67E-07
4.5200E-07,4.54E-07
4.5250E-07,4.46E-07
4.5300E-07,4.52E-07
4.5350E-07,4.60E-07
4.5400E-07,4.57E-07
4.5450E-07,4.50E-07
4.5500E-07,4.54E-07
4.5550E-07,4.65E-07
4.5600E-07,4.69E-07
4.5650E-07,4.70E-07
4.5700E-07,4.68E-07
4.5750E-07,4.59E-07
4.5800E-07,4.53E-07
4.5850E-07,4.54E-07
4.5900E-07,4.55E-07
4.5950E-07,4.49E-07
4.6000E-07,4.55E-07
4.6050E-07,4.58E-07
4.6100E-07,4.57E-07
4.6150E-07,4.57E-07
4.6200E-07,4.56E-07
4.6250E-07,4.55E-07
4.6300E-07,4.51E-07
4.6350E-07,4.47E-07
4.6400E-07,4.44E-07
4.6450E-07,4.43E-07
4.6500E-07,4.48E-07
4.6550E-07,4.46E-07
4.6600E-07,4.36E-07
4.6650E-07,4.35E-07
4.6700E-07,4.43E-07
4.6750E-07,4.46E-07
4.6800E-07,4.44E-07
4.6850E-07,4.43E-07
4.6900E-07,4.38E-07
4.6950E-07,4.32E-07
4.7000E-07,4.29E-07
4.7050E-07,4.33E-07
4.7100E-07,4.42E-07
4.7150E-07,4.45E-07
4.7200E-07,4.40E-07
4.7250E-07,4.33E-07
4.7300E-07,4.33E-07
4.7350E-07,4.37E-07
4.7400E-07,4.40E-07
4.7450E-07,4.38E-07
4.7500E-07,4.32E-07
4.7550E-07,4.28E-07
4.7600E-07,4.27E-07
4.7650E-07,4.32E-07
4.7700E-07,4.39E-07
4.7750E-07,4.37E-07
4.7800E-07,4.31E-07
4.7850E-07,4.35E-07
4.7900E-07,4.39E-07
4.7950E-07,4.35E-07
4.8000E-07,4.33E-07
4.8050E-07,4.36E-07
4.8100E-07,4.39E-07
4.8150E-07,4.35E-07
4.8200E-07,4.29E-07
4.8250E-07,4.27E-07
4.8300E-07,4.26E-07
4.8350E-07,4.21E-07
4.8400E-07,4.14E-07
4.8450E-07,3.96E-07
4.8500E-07,3.55E-07
4.8550E-07,3.22E-07
4.8600E-07,3.37E-07
4.8650E-07,3.71E-07
4.8700E-07,3.93E-07
4.8750E-07,4.02E-07
4.8800E-07,4.03E-07
4.8850E-07,4.07E-07
4.8900E-07,4.17E-07
4.8950E-07,4.21E-07
4.9000E-07,4.17E-07
4.9050E-07,4.14E-07
4.9100E-07,4.06E-07
4.9150E-07,4.00E-07
4.9200E-07,4.10E-07
4.9250E-07,4.14E-07
4.9300E-07,4.10E-07
4.9350E-07,4.13E-07
4.9400E-07,4.20E-07
4.9450E-07,4.20E-07
4.9500E-07,4.15E-07
4.9550E-07,4.15E-07
4.9600E-07,4.19E-07
4.9650E-07,4.20E-07
