Wavelength (m),Spectral flux (W/m^2/m)
7.8600E-07,2.07E-07
7.8650E-07,2.06E-07
7.8700E-07,2.06E-07
7.8750E-07,2.05E-07
7.8800E-07,2.05E-07
7.8850E-07,2.05E-07
7.8900E-07,2.04E-07
7.8950E-07,2.03E-07
7.9000E-07,2.04E-07
7.9050E-07,2.04E-07
7.9100E-07,2.03E-07
7.9150E-07,2.01E-07
7.9200E-07,2.01E-07
7.9250E-07,2.00E-07
7.9300E-07,1.98E-07
7.9350E-07,1.98E-07
7.9400E-07,1.98E-07
7.9450E-07,2.00E-07
7.9500E-07,2.01E-07
7.9550E-07,2.01E-07
7.9600E-07,2.01E-07
7.9650E-07,2.01E-07
7.9700E-07,2.02E-07
7.9750E-07,2.02E-07
7.9800E-07,2.02E-07
7.9850E-07,2.01E-07
7.9900E-07,2.00E-07
7.9950E-07,1.98E-07
8.0000E-07,1.98E-07
8.0050E-07,1.99E-07
8.0100E-07,1.99E-07
8.0150E-07,2.00E-07
8.0200E-07,1.99E-07
8.0250E-07,1.97E-07
8.0300E-07,1.97E-07
8.0350E-07,1.98E-07
8.0400E-07,1.96E-07
8.0450E-07,1.96E-07
8.0500E-07,1.98E-07
8.0550E-07,1.98E-07
8.0600E-07,1.98E-07
8.0650E-07,1.97E-07
8.0700E-07,1.97E-07
8.0750E-07,1.96E-07
8.0800E-07,1.95E-07
8.0850E-07,1.95E-07
8.0900E-07,1.95E-07
8.0950E-07,1.94E-07
8.1000E-07,1.95E-07
8.1050E-07,1.95E-07
8.1100E-07,0.00E+00
8.1150E-07,0.00E+00
8.1200E-07,0.00E+00
8.1250E-07,0.00E+00
8.1300E-07,0.00E+00
8.1350E-07,0.00E+00
8.1400E-07,0.00E+00
8.1450E-07,0.00E+00
8.1500E-07,0.00E+00
8.1550E-07,0.00E+00
8.1600E-07,0.00E+00
8.1650E-07,0.00E+00
8.1700E-07,0.00E+00
8.1750E-07,0.00E+00
8.1800E-07,0.00E+00
8.1850E-07,0.00E+00
8.1900E-07,0.00E+00
8.1950E-07,0.00E+00
8.2000E-07,0.00E+00
8.2050E-07,0.00E+00
8.2100E-07,0.00E+00
8.2150E-07,0.00E+00
8.2200E-07,0.00E+00
8.2250E-07,0.00E+00
8.2300E-07,0.00E+00
8.2350E-07,0.00E+00
8.2400E-07,0.00E+00
8.2450E-07,0.00E+00
8.2500E-07,0.00E+00
8.2550E-07,0.00E+00
8.2600E-07,0.00E+00
8.2650E-07,0.00E+00
8.2700E-07,0.00E+00
8.2750E-07,0.00E+00
8.2800E-07,0.00E+00
8.2850E-07,0.00E+00
8.2900E-07,0.00E+00
8.2950E-07,0.00E+00
8.3000E-07,0.00E+00
8.3050E-07,0.00E+00
8.3100E-07,0.00E+00
8.3150E-07,0.00E+00
8.3200E-07,0.00E+00
8.3250E-07,0.00E+00
8.3300E-07,0.00E+00
8.3350E-07,0.00E+00
8.3400E-07,0.00E+00
8.3450E-07,0.00E+00
8.3500E-07,0.00E+00
8.3550E-07,0.00E+00
8.3600E-07,0.00E+00
8.3650E-07,0.00E+00
8.3700E-07,0.00E+00
8.3750E-07,1.83E-07
8.3800E-07,1.82E-07
8.3850E-07,1.82E-07
8.3900E-07,1.85E-07
8.3950E-07,1.86E-07
8.4000E-07,1.83E-07
8.4050E-07,1.84E-07
8.4100E-07,1.84E-07
8.4150E-07,1.83E-07
8.4200E-07,1.84E-07
8.4250E-07,1.83E-07
8.4300E-07,1.81E-07
8.4350E-07,1.79E-07
8.4400E-07,1.79E-07
8.4450E-07,1.81E-07
8.4500E-07,1.82E-07
8.4550E-07,1.83E-07
8.4600E-07,1.81E-07
8.4650E-07,1.79E-07
8.4700E-07,1.79E-07
8.4750E-07,1.79E-07
8.4800E-07,1.80E-07
8.4850E-07,1.77E-07
8.4900E-07,1.70E-07
8.4950E-07,1.64E-07
8.5000E-07,1.72E-07
8.5050E-07,1.77E-07
8.5100E-07,1.75E-07
8.5150E-07,1.75E-07
8.5200E-07,1.76E-07
8.5250E-07,1.74E-07
8.5300E-07,1.65E-07
8.5350E-07,1.48E-07
8.5400E-07,1.46E-07
8.5450E-07,1.62E-07
8.5500E-07,1.71E-07
8.5550E-07,1.73E-07
8.5600E-07,1.75E-07
8.5650E-07,1.74E-07
8.5700E-07,1.74E-07
8.5750E-07,1.74E-07
8.5800E-07,1.73E-07
8.5850E-07,1.72E-07
8.5900E-07,1.71E-07
8.5950E-07,1.70E-07
8.6000E-07,1.71E-07
8.6050E-07,1.71E-07
8.6100E-07,1.71E-07
8.6150E-07,1.73E-07
8.6200E-07,1.73E-07
8.6250E-07,1.73E-07
8.6300E-07,1.72E-07
8.6350E-07,1.71E-07
8.6400E-07,1.70E-07
8.6450E-07,1.67E-07
8.6500E-07,1.62E-07
8.6550E-07,1.48E-07
8.6600E-07,1.44E-07
8.6650E-07,1.58E-07
8.6700E-07,1.65E-07
8.6750E-07,1.66E-07
8.6800E-07,1.66E-07
8.6850E-07,1.65E-07
8.6900E-07,1.67E-07
8.6950E-07,1.68E-07
8.7000E-07,1.68E-07
8.7050E-07,1.67E-07
8.7100E-07,1.66E-07
8.7150E-07,1.67E-07
8.7200E-07,1.66E-07
8.7250E-07,1.65E-07
8.7300E-07,1.64E-07
8.7350E-07,1.63E-07
8.7400E-07,1.62E-07
8.7450E-07,1.60E-07
8.7500E-07,1.62E-07
8.7550E-07,1.65E-07
8.7600E-07,1.65E-07
8.7650E-07,1.65E-07
8.7700E-07,1.65E-07
8.7750E-07,1.64E-07
8.7800E-07,1.64E-07
8.7850E-07,1.63E-07
8.7900E-07,1.62E-07
8.7950E-07,1.63E-07
8.8000E-07,1.60E-07
8.8050E-07,1.60E-07
8.8100E-07,1.64E-07
8.8150E-07,1.67E-07
8.8200E-07,1.67E-07
8.8250E-07,1.65E-07
8.8300E-07,1.63E-07
8.8350E-07,1.62E-07
8.8400E-07,1.61E-07
8.8450E-07,1.62E-07
8.8500E-07,1.59E-07
8.8550E-07,1.57E-07
8.8600E-07,1.55E-07
8.8650E-07,1.57E-07
8.8700E-07,1.60E-07
8.8750E-07,1.63E-07
8.8800E-07,1.64E-07
8.8850E-07,1.63E-07
8.8900E-07,1.62E-07
8.8950E-07,1.63E-07
8.9000E-07,1.64E-07
8.9050E-07,1.62E-07
8.9100E-07,1.63E-07
8.9150E-07,1.63E-07
8.9200E-07,1.58E-07
8.9250E-07,0.00E+00
8.9300E-07,0.00E+00
9.0000E-07,0.00E+00
9.2000E-07,0.00E+00
9.4000E-07,0.00E+00
9.6000E-07,0.00E+00
9.8000E-07,0.00E+00
1.0000E-06,0.00E+00
1.0200E-06,0.00E+00
1.0400E-06,0.00E+00
1.0600E-06,0.00E+00
1.0800E-06,0.00E+00
1.1000E-06,0.00E+00
1.1200E-06,0.00E+00
1.1400E-06,0.00E+00
1.1600E-06,0.00E+00
1.1800E-06,0.00E+00
1.2000E-06,0.00E+00
1.2200E-06,0.00E+00
1.2400E-06,0.00E+00
1.2600E-06,0.00E+00
1.2800E-06,0.00E+00
1.3000E-06,0.00E+00
1.3200E-06,0.00E+00
1.3400E-06,0.00E+00
1.3600E-06,0.00E+00
1.3800E-06,0.00E+00
1.4000E-06,0.00E+00
1.4200E-06,0.00E+00
1.4400E-06,0.00E+00
1.4600E-06,0.00E+00
1.4800E-06,0.00E+00
1.5000E-06,0.00E+00
1.5200E-06,0.00E+00
1.5400E-06,0.00E+00
1.5600E-06,0.00E+00
1.5800E-06,0.00E+00
1.6000E-06,0.00E+00
1.6200E-06,0.00E+00
1.6400E-06,0.00E+00
1.6600E-06,0.00E+00
1.6800E-06,0.00E+00
1.7000E-06,0.00E+00
1.7200E-06,0.00E+00
1.7400E-06,0.00E+00
1.7600E-06,0.00E+00
1.7800E-06,0.00E+00
1.8000E-06,0.00E+00
1.8200E-06,0.00E+00
1.8400E-06,0.00E+00
1.8600E-06,0.00E+00
1.8800E-06,0.00E+00
1.9000E-06,0.00E+00
1.9200E-06,0.00E+00
1.9400E-06,0.00E+00
1.9600E-06,0.00E+00
1.9800E-06,0.00E+00
2.0000E-06,0.00E+00
2.0200E-06,0.00E+00
2.0400E-06,0.00E+00
2.0600E-06,0.00E+00
2.0800E-06,0.00E+00
2.1000E-06,0.00E+00
